Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 01:00:31.507,114444.9,0.001,BTCUSDT
2025-09-30 01:00:31.507,114444.7,0.002,BTCUSDT
2025-09-30 01:00:31.507,114444.6,0.001,BTCUSDT
2025-09-30 01:00:31.507,114444.2,0.002,BTCUSDT
2025-09-30 01:00:31.507,114444.0,0.002,BTCUSDT
2025-09-30 01:00:31.515,114444.1,0.001,BTCUSDT
2025-09-30 01:00:31.526,114444.0,0.001,BTCUSDT
2025-09-30 01:00:31.526,114444.0,0.016,BTCUSDT
2025-09-30 01:00:31.526,114444.0,0.001,BTCUSDT
2025-09-30 01:00:31.526,114444.0,0.001,BTCUSDT
2025-09-30 01:00:31.526,114444.0,0.001,BTCUSDT
2025-09-30 01:00:31.526,114443.9,0.001,BTCUSDT
2025-09-30 01:00:31.527,114443.9,0.001,BTCUSDT
2025-09-30 01:00:31.527,114443.9,0.001,BTCUSDT
2025-09-30 01:00:31.527,114443.9,0.001,BTCUSDT
2025-09-30 01:00:31.538,114443.4,0.002,BTCUSDT
2025-09-30 01:00:31.538,114443.3,0.001,BTCUSDT
2025-09-30 01:00:31.538,114443.1,0.066,BTCUSDT
2025-09-30 01:00:31.538,114442.9,0.066,BTCUSDT
2025-09-30 01:00:31.538,114442.8,0.002,BTCUSDT
2025-09-30 01:00:31.538,114442.8,0.002,BTCUSDT
2025-09-30 01:00:31.538,114442.8,0.002,BTCUSDT
2025-09-30 01:00:31.538,114442.7,0.024,BTCUSDT
2025-09-30 01:00:31.539,114442.7,0.042,BTCUSDT
2025-09-30 01:00:31.539,114442.2,0.001,BTCUSDT
2025-09-30 01:00:31.539,114442.2,0.005,BTCUSDT
2025-09-30 01:00:31.539,114441.9,0.002,BTCUSDT
2025-09-30 01:00:31.539,114441.6,0.002,BTCUSDT
2025-09-30 01:00:31.539,114441.5,0.031,BTCUSDT
2025-09-30 01:00:31.539,114441.2,0.002,BTCUSDT
2025-09-30 01:00:31.539,114441.2,0.001,BTCUSDT
2025-09-30 01:00:31.539,114441.2,0.012,BTCUSDT
2025-09-30 01:00:31.539,114440.9,0.001,BTCUSDT
2025-09-30 01:00:31.539,114440.7,0.001,BTCUSDT
2025-09-30 01:00:31.539,114440.6,0.002,BTCUSDT
2025-09-30 01:00:31.559,114440.3,0.001,BTCUSDT
2025-09-30 01:00:31.566,114440.0,0.001,BTCUSDT
2025-09-30 01:00:31.566,114440.0,0.001,BTCUSDT
2025-09-30 01:00:31.566,114440.0,0.002,BTCUSDT
2025-09-30 01:00:31.566,114440.0,0.001,BTCUSDT
2025-09-30 01:00:31.566,114440.0,0.001,BTCUSDT
2025-09-30 01:00:31.566,114440.0,0.001,BTCUSDT
2025-09-30 01:00:31.566,114440.0,0.001,BTCUSDT
2025-09-30 01:00:31.566,114440.0,0.011,BTCUSDT
2025-09-30 01:00:31.594,114440.0,0.001,BTCUSDT
2025-09-30 01:00:31.594,114440.0,0.381,BTCUSDT
2025-09-30 01:00:31.594,114440.0,0.001,BTCUSDT
2025-09-30 01:00:31.594,114440.0,0.001,BTCUSDT
2025-09-30 01:00:31.594,114440.0,0.087,BTCUSDT
2025-09-30 01:00:31.594,114440.0,0.045,BTCUSDT
2025-09-30 01:00:31.629,114440.0,0.042,BTCUSDT
2025-09-30 01:00:31.629,114440.0,0.087,BTCUSDT
2025-09-30 01:00:31.629,114440.0,0.001,BTCUSDT
2025-09-30 01:00:31.629,114440.0,0.002,BTCUSDT
2025-09-30 01:00:31.629,114440.0,0.001,BTCUSDT
2025-09-30 01:00:31.629,114439.7,0.026,BTCUSDT
2025-09-30 01:00:31.629,114439.7,0.159,BTCUSDT
2025-09-30 01:00:31.641,114439.7,0.015,BTCUSDT
2025-09-30 01:00:31.641,114439.7,0.001,BTCUSDT
2025-09-30 01:00:31.641,114439.7,0.001,BTCUSDT
2025-09-30 01:00:31.641,114439.4,0.002,BTCUSDT
2025-09-30 01:00:31.641,114438.8,0.002,BTCUSDT
2025-09-30 01:00:31.642,114438.4,0.003,BTCUSDT
2025-09-30 01:00:31.642,114438.2,0.002,BTCUSDT
2025-09-30 01:00:31.642,114438.1,0.002,BTCUSDT
2025-09-30 01:00:31.642,114438.0,0.002,BTCUSDT
2025-09-30 01:00:31.678,114437.8,0.001,BTCUSDT
2025-09-30 01:00:31.678,114437.8,0.001,BTCUSDT
2025-09-30 01:00:31.678,114437.8,0.001,BTCUSDT
2025-09-30 01:00:31.678,114437.8,0.001,BTCUSDT
2025-09-30 01:00:31.678,114437.8,0.001,BTCUSDT
2025-09-30 01:00:31.678,114437.8,0.001,BTCUSDT
2025-09-30 01:00:31.678,114437.8,0.001,BTCUSDT
2025-09-30 01:00:31.678,114437.8,0.002,BTCUSDT
2025-09-30 01:00:31.732,114437.8,0.01,BTCUSDT
2025-09-30 01:00:31.732,114437.8,0.069,BTCUSDT
2025-09-30 01:00:31.759,114437.7,0.047,BTCUSDT
2025-09-30 01:00:31.759,114437.7,0.093,BTCUSDT
2025-09-30 01:00:31.759,114437.7,0.038,BTCUSDT
2025-09-30 01:00:31.759,114437.7,0.022,BTCUSDT
2025-09-30 01:00:31.759,114437.7,0.001,BTCUSDT
2025-09-30 01:00:31.759,114437.7,0.001,BTCUSDT
2025-09-30 01:00:31.759,114437.7,0.001,BTCUSDT
2025-09-30 01:00:31.759,114437.7,0.001,BTCUSDT
2025-09-30 01:00:31.759,114437.7,0.002,BTCUSDT
2025-09-30 01:00:31.759,114437.4,0.001,BTCUSDT
2025-09-30 01:00:31.759,114437.4,0.001,BTCUSDT
2025-09-30 01:00:31.759,114437.3,0.003,BTCUSDT
2025-09-30 01:00:31.760,114437.2,0.001,BTCUSDT
2025-09-30 01:00:31.760,114437.2,0.002,BTCUSDT
2025-09-30 01:00:31.760,114436.8,0.001,BTCUSDT
2025-09-30 01:00:31.760,114436.6,0.018,BTCUSDT
2025-09-30 01:00:31.760,114436.6,0.08,BTCUSDT
2025-09-30 01:00:31.896,114436.6,0.118,BTCUSDT
2025-09-30 01:00:31.896,114436.6,0.002,BTCUSDT
2025-09-30 01:00:31.896,114436.6,0.001,BTCUSDT
2025-09-30 01:00:32.018,114436.5,0.003,BTCUSDT
2025-09-30 01:00:32.047,114436.5,0.002,BTCUSDT
2025-09-30 01:00:32.137,114436.5,0.016,BTCUSDT
2025-09-30 01:00:32.137,114436.5,0.002,BTCUSDT
2025-09-30 01:00:32.137,114436.5,0.001,BTCUSDT
2025-09-30 01:00:32.404,114436.5,0.009,BTCUSDT
2025-09-30 01:00:32.406,114436.5,0.06,BTCUSDT
2025-09-30 01:00:32.408,114436.5,0.131,BTCUSDT
2025-09-30 01:00:32.408,114436.5,0.002,BTCUSDT
2025-09-30 01:00:32.408,114436.5,0.002,BTCUSDT
2025-09-30 01:00:32.408,114436.5,0.001,BTCUSDT
2025-09-30 01:00:32.408,114436.5,0.001,BTCUSDT
2025-09-30 01:00:32.408,114436.5,0.001,BTCUSDT
2025-09-30 01:00:32.408,114436.4,0.001,BTCUSDT
2025-09-30 01:00:32.408,114436.4,0.001,BTCUSDT
2025-09-30 01:00:32.408,114436.2,0.001,BTCUSDT
2025-09-30 01:00:32.408,114435.9,0.002,BTCUSDT
2025-09-30 01:00:32.408,114435.9,0.002,BTCUSDT
2025-09-30 01:00:32.408,114435.9,0.002,BTCUSDT
2025-09-30 01:00:32.408,114435.3,0.002,BTCUSDT
2025-09-30 01:00:32.408,114435.0,0.001,BTCUSDT
2025-09-30 01:00:32.408,114434.9,0.002,BTCUSDT
2025-09-30 01:00:32.408,114434.7,0.002,BTCUSDT
2025-09-30 01:00:32.408,114434.4,0.001,BTCUSDT
2025-09-30 01:00:32.408,114434.2,0.001,BTCUSDT
2025-09-30 01:00:32.408,114434.1,0.002,BTCUSDT
2025-09-30 01:00:32.408,114434.1,0.001,BTCUSDT
2025-09-30 01:00:32.408,114433.6,0.004,BTCUSDT
2025-09-30 01:00:32.408,114433.5,0.002,BTCUSDT
2025-09-30 01:00:32.408,114433.4,0.001,BTCUSDT
2025-09-30 01:00:32.410,114433.3,0.002,BTCUSDT
2025-09-30 01:00:32.410,114433.2,0.003,BTCUSDT
2025-09-30 01:00:32.410,114433.1,0.001,BTCUSDT
2025-09-30 01:00:32.410,114432.9,0.001,BTCUSDT
2025-09-30 01:00:32.410,114432.9,0.002,BTCUSDT
2025-09-30 01:00:32.410,114432.3,0.002,BTCUSDT
2025-09-30 01:00:32.410,114432.3,0.002,BTCUSDT
2025-09-30 01:00:32.410,114432.2,0.001,BTCUSDT
2025-09-30 01:00:32.420,114432.1,0.001,BTCUSDT
2025-09-30 01:00:32.429,114432.1,0.001,BTCUSDT
2025-09-30 01:00:32.462,114432.2,0.017,BTCUSDT
2025-09-30 01:00:32.482,114432.1,0.043,BTCUSDT
2025-09-30 01:00:32.485,114432.1,0.016,BTCUSDT
2025-09-30 01:00:32.495,114432.0,0.017,BTCUSDT
2025-09-30 01:00:32.567,114432.0,0.024,BTCUSDT
2025-09-30 01:00:32.579,114432.0,0.159,BTCUSDT
2025-09-30 01:00:32.579,114432.0,0.001,BTCUSDT
2025-09-30 01:00:32.579,114432.0,0.002,BTCUSDT
2025-09-30 01:00:32.579,114432.0,0.002,BTCUSDT
2025-09-30 01:00:32.582,114431.9,0.018,BTCUSDT
2025-09-30 01:00:32.582,114431.9,0.001,BTCUSDT
2025-09-30 01:00:32.582,114431.7,0.002,BTCUSDT
2025-09-30 01:00:32.582,114431.4,0.001,BTCUSDT
2025-09-30 01:00:32.582,114431.3,0.002,BTCUSDT
2025-09-30 01:00:32.582,114431.1,0.001,BTCUSDT
2025-09-30 01:00:32.582,114431.1,0.001,BTCUSDT
2025-09-30 01:00:32.582,114431.1,0.002,BTCUSDT
2025-09-30 01:00:32.582,114430.9,0.001,BTCUSDT
2025-09-30 01:00:32.582,114430.8,0.001,BTCUSDT
2025-09-30 01:00:32.668,114430.7,0.017,BTCUSDT
2025-09-30 01:00:32.668,114430.7,0.017,BTCUSDT
2025-09-30 01:00:32.687,114430.7,0.056,BTCUSDT
2025-09-30 01:00:32.687,114430.7,0.002,BTCUSDT
2025-09-30 01:00:32.687,114430.7,0.001,BTCUSDT
2025-09-30 01:00:32.687,114430.7,0.001,BTCUSDT
2025-09-30 01:00:32.791,114430.7,0.011,BTCUSDT
2025-09-30 01:00:32.791,114430.7,0.064,BTCUSDT
2025-09-30 01:00:32.869,114430.6,0.005,BTCUSDT
